listing_id,title,seller,status,position,image_reference,source_asset,source_panel,source_type,usage_basis_or_license,source_url,date_generated,prompt_set
b471370f-94a4-4dd0-b622-e1353e4ec01b,"Minimal White Linen Shirt",neutralarchive,ACTIVE,0,listings/b51b1a5a-013c-4b06-abcd-54284827720f/b471370f-94a4-4dd0-b622-e1353e4ec01b/e6f0b311-fad2-4447-96f4-141e75c05f4d.webp,apps/api/demo-assets/source/neutralarchive.png,1,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
b471370f-94a4-4dd0-b622-e1353e4ec01b,"Minimal White Linen Shirt",neutralarchive,ACTIVE,1,listings/b51b1a5a-013c-4b06-abcd-54284827720f/b471370f-94a4-4dd0-b622-e1353e4ec01b/ab30cc41-7b53-479c-9bb7-43e13c6731c8.webp,apps/api/demo-assets/source/neutralarchive.png,1,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
b471370f-94a4-4dd0-b622-e1353e4ec01b,"Minimal White Linen Shirt",neutralarchive,ACTIVE,2,listings/b51b1a5a-013c-4b06-abcd-54284827720f/b471370f-94a4-4dd0-b622-e1353e4ec01b/2706d121-0032-46b7-9c68-5271d69dc7dd.webp,apps/api/demo-assets/source/neutralarchive.png,1,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
6ff04cb6-a3e2-45f1-9a7c-ffa7ca199fb0,"Oatmeal Ribbed Knit Cardigan",neutralarchive,ACTIVE,0,listings/b51b1a5a-013c-4b06-abcd-54284827720f/6ff04cb6-a3e2-45f1-9a7c-ffa7ca199fb0/b61e1f97-d394-4e70-a935-8a70dd49069e.webp,apps/api/demo-assets/source/neutralarchive.png,2,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
6ff04cb6-a3e2-45f1-9a7c-ffa7ca199fb0,"Oatmeal Ribbed Knit Cardigan",neutralarchive,ACTIVE,1,listings/b51b1a5a-013c-4b06-abcd-54284827720f/6ff04cb6-a3e2-45f1-9a7c-ffa7ca199fb0/57df0bf5-cd7f-4524-b55c-b3eb9324f9ca.webp,apps/api/demo-assets/source/neutralarchive.png,2,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
6ff04cb6-a3e2-45f1-9a7c-ffa7ca199fb0,"Oatmeal Ribbed Knit Cardigan",neutralarchive,ACTIVE,2,listings/b51b1a5a-013c-4b06-abcd-54284827720f/6ff04cb6-a3e2-45f1-9a7c-ffa7ca199fb0/b3121c78-0f01-4069-b2c1-822008b879a2.webp,apps/api/demo-assets/source/neutralarchive.png,2,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
9cf96e17-9c2f-483a-98b3-a421d678c40a,"Stone Wide-Leg Trousers",neutralarchive,ACTIVE,0,listings/b51b1a5a-013c-4b06-abcd-54284827720f/9cf96e17-9c2f-483a-98b3-a421d678c40a/09af4738-b907-4c40-b6db-1da41c59165a.webp,apps/api/demo-assets/source/neutralarchive.png,3,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
9cf96e17-9c2f-483a-98b3-a421d678c40a,"Stone Wide-Leg Trousers",neutralarchive,ACTIVE,1,listings/b51b1a5a-013c-4b06-abcd-54284827720f/9cf96e17-9c2f-483a-98b3-a421d678c40a/fa0a7773-101b-4b1a-a882-18ccc457340d.webp,apps/api/demo-assets/source/neutralarchive.png,3,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
9cf96e17-9c2f-483a-98b3-a421d678c40a,"Stone Wide-Leg Trousers",neutralarchive,ACTIVE,2,listings/b51b1a5a-013c-4b06-abcd-54284827720f/9cf96e17-9c2f-483a-98b3-a421d678c40a/7d07ba1e-28ca-456f-b173-5ae1232c0f9b.webp,apps/api/demo-assets/source/neutralarchive.png,3,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
f3a870fb-57fd-4a79-bad1-58c20408b839,"Charcoal Everyday T-Shirt",neutralarchive,ACTIVE,0,listings/b51b1a5a-013c-4b06-abcd-54284827720f/f3a870fb-57fd-4a79-bad1-58c20408b839/857534aa-038c-484b-834c-082bd5626628.webp,apps/api/demo-assets/source/neutralarchive.png,4,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
f3a870fb-57fd-4a79-bad1-58c20408b839,"Charcoal Everyday T-Shirt",neutralarchive,ACTIVE,1,listings/b51b1a5a-013c-4b06-abcd-54284827720f/f3a870fb-57fd-4a79-bad1-58c20408b839/65519156-af67-4b07-8b6e-842c71df2595.webp,apps/api/demo-assets/source/neutralarchive.png,4,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
f3a870fb-57fd-4a79-bad1-58c20408b839,"Charcoal Everyday T-Shirt",neutralarchive,ACTIVE,2,listings/b51b1a5a-013c-4b06-abcd-54284827720f/f3a870fb-57fd-4a79-bad1-58c20408b839/3787576c-5a53-45f5-afc7-64cff6d363b0.webp,apps/api/demo-assets/source/neutralarchive.png,4,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
9636b43b-fe38-4a6a-813c-a127d02d3aa1,"Cream Column Midi Dress",neutralarchive,ACTIVE,0,listings/b51b1a5a-013c-4b06-abcd-54284827720f/9636b43b-fe38-4a6a-813c-a127d02d3aa1/59029a1f-f9b8-44ef-a1db-52df6a5b10ff.webp,apps/api/demo-assets/source/neutralarchive.png,5,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
9636b43b-fe38-4a6a-813c-a127d02d3aa1,"Cream Column Midi Dress",neutralarchive,ACTIVE,1,listings/b51b1a5a-013c-4b06-abcd-54284827720f/9636b43b-fe38-4a6a-813c-a127d02d3aa1/cd914d1b-d13f-44ed-90ae-08d6c5128722.webp,apps/api/demo-assets/source/neutralarchive.png,5,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
9636b43b-fe38-4a6a-813c-a127d02d3aa1,"Cream Column Midi Dress",neutralarchive,ACTIVE,2,listings/b51b1a5a-013c-4b06-abcd-54284827720f/9636b43b-fe38-4a6a-813c-a127d02d3aa1/4d63188d-cfe8-4f0f-9e96-64615a9a0c20.webp,apps/api/demo-assets/source/neutralarchive.png,5,SYNTHETIC,Original synthetic image generated with OpenAI image generation; staging demo use,,2026-08-24,thriftage-demo-product-contact-sheets-v1
